ticket_id,customer_id,category,priority,status,created_date,resolved_date,resolution_days,satisfaction_score,subject
TKT00333,CUST0005,Feature Request,Low,Open,2024-10-27,,,,Discover matter successful consumer boy ok.
TKT00334,CUST0016,Integration,Medium,In Progress,2024-07-22,,,,Blue half grow high world same.
TKT00335,CUST0107,Performance,Medium,Open,2024-08-04,,,,In evidence bank state affect last computer.
TKT00336,CUST0040,Performance,Critical,In Progress,2024-05-22,,,,Consumer indicate sport gas responsibility.
TKT00337,CUST0040,Integration,High,Resolved,2024-10-01,2024-10-12,11.0,1.0,Difference not project your.
TKT00338,CUST0080,Feature Request,Low,Resolved,2024-12-23,2025-01-06,14.0,1.0,Wonder more condition.
TKT00339,CUST0112,Bug,Medium,Resolved,2024-02-29,2024-03-15,15.0,2.0,Investment off career situation moment manager.
TKT00340,CUST0031,Feature Request,Medium,Resolved,2024-01-07,2024-01-12,5.0,3.0,Name though or painting country weight model.
TKT00341,CUST0134,Feature Request,High,In Progress,2024-09-21,,,,Carry kind know drive wrong movie line candidate.
TKT00342,CUST0069,Onboarding,Low,In Progress,2024-03-01,,,,Them sort system five herself impact material I.
TKT00343,CUST0017,Onboarding,Medium,Resolved,2024-05-14,2024-06-02,19.0,3.0,Rule across whether amount recent.
TKT00344,CUST0015,Feature Request,Low,In Progress,2024-09-12,,,,Really television remember last say site.
TKT00345,CUST0027,Performance,Low,In Progress,2024-10-20,,,,Improve most effect until.
TKT00346,CUST0004,Onboarding,Critical,Resolved,2024-05-05,2024-05-07,2.0,2.0,Surface none wife almost.
TKT00347,CUST0010,Feature Request,Medium,In Progress,2024-10-10,,,,Push some manager necessary.
TKT00348,CUST0185,Performance,Medium,Closed,2024-06-12,2024-06-21,9.0,5.0,News be toward poor street by civil eat.
TKT00349,CUST0173,Performance,Critical,In Progress,2024-01-27,,,,Describe role ok out.
TKT00350,CUST0103,Billing,Medium,Closed,2024-02-05,2024-02-20,15.0,5.0,Board perhaps structure way bank eight wish describe.
TKT00351,CUST0117,Performance,High,In Progress,2024-01-05,,,,Who gas guess me.
TKT00352,CUST0190,Performance,Critical,Resolved,2024-11-14,2024-11-22,8.0,2.0,Attorney point with sell nice.
TKT00353,CUST0188,Onboarding,Low,In Progress,2024-10-06,,,,Apply key necessary give.
TKT00354,CUST0139,Bug,High,Closed,2024-06-26,2024-06-27,1.0,4.0,Business response newspaper ever election outside.
TKT00355,CUST0189,Feature Request,Medium,In Progress,2024-06-06,,,,Class head bring number national however book course.
TKT00356,CUST0016,Feature Request,High,Open,2024-03-13,,,,Man finish wait treatment table beyond think magazine.
TKT00357,CUST0134,Integration,Low,Resolved,2024-07-30,2024-08-11,12.0,1.0,Any capital north perhaps.
TKT00358,CUST0130,Performance,Low,Open,2024-03-09,,,,City six mean notice.
TKT00359,CUST0170,Billing,Critical,In Progress,2024-03-07,,,,Enough pattern not loss worry family situation early.
TKT00360,CUST0101,Billing,Low,In Progress,2024-12-24,,,,Stock stop relationship six degree early.
TKT00361,CUST0052,Bug,Low,Open,2024-03-10,,,,Set major than against mention cultural discuss.
TKT00362,CUST0120,Billing,Critical,Open,2024-06-09,,,,Anything sister sport left meeting threat.
TKT00363,CUST0054,Bug,Low,Resolved,2024-08-19,2024-08-29,10.0,3.0,They old chair young but argue.
TKT00364,CUST0181,Billing,Low,Open,2024-12-22,,,,Agreement perhaps in include human.
TKT00365,CUST0183,Bug,Medium,Resolved,2024-05-07,2024-05-19,12.0,3.0,Say series evidence maybe.
TKT00366,CUST0045,Performance,High,Closed,2024-01-16,2024-01-29,13.0,2.0,Either into voice chance writer task team.
TKT00367,CUST0025,Feature Request,Low,Closed,2024-08-24,2024-08-28,4.0,1.0,Recognize relate popular color.
TKT00368,CUST0200,Onboarding,Medium,In Progress,2024-04-23,,,,Image create value.
TKT00369,CUST0162,Billing,Critical,Resolved,2024-11-26,2024-11-29,3.0,1.0,White skill property Mr whatever relate.
TKT00370,CUST0006,Onboarding,High,Closed,2024-02-03,2024-02-10,7.0,1.0,Face city think democratic receive.
TKT00371,CUST0085,Bug,Low,Closed,2024-03-03,2024-03-05,2.0,5.0,Really town notice mission with believe already.
TKT00372,CUST0111,Integration,Medium,Open,2024-07-21,,,,Full say management loss staff professional sport.
TKT00373,CUST0091,Onboarding,High,In Progress,2024-04-19,,,,Mind upon before game minute.
TKT00374,CUST0009,Integration,Low,Resolved,2024-11-10,2024-11-30,20.0,4.0,Parent a buy or own.
TKT00375,CUST0141,Onboarding,Low,Open,2024-09-02,,,,Leg popular interesting feeling because.
TKT00376,CUST0052,Performance,High,In Progress,2024-11-25,,,,Of behavior stay.
TKT00377,CUST0098,Onboarding,Medium,Resolved,2024-12-31,2025-01-12,12.0,5.0,Fall want laugh forward good usually.
TKT00378,CUST0129,Bug,Medium,In Progress,2024-06-13,,,,Exist claim middle east actually drive.
TKT00379,CUST0057,Onboarding,Medium,Open,2024-01-16,,,,Continue three west region pretty movie note.
TKT00380,CUST0197,Bug,Low,Closed,2024-10-26,2024-11-03,8.0,2.0,Return some step man commercial.
TKT00381,CUST0069,Feature Request,Medium,Closed,2024-09-30,2024-10-02,2.0,4.0,Call write huge very low grow.
TKT00382,CUST0091,Billing,High,In Progress,2024-03-29,,,,Probably board magazine probably trial loss blue.
TKT00383,CUST0179,Integration,Medium,Open,2024-07-02,,,,Wear trouble remember why lawyer until.
TKT00384,CUST0146,Feature Request,High,Resolved,2024-10-15,2024-10-20,5.0,4.0,Join sign plant baby represent course science.
TKT00385,CUST0139,Bug,Low,Resolved,2024-06-07,2024-06-13,6.0,5.0,Truth friend purpose rise people.
TKT00386,CUST0057,Billing,Critical,Resolved,2024-01-11,2024-01-28,17.0,2.0,Serve month Mrs themselves fund just whatever thing.
TKT00387,CUST0034,Billing,Low,Closed,2024-06-23,2024-06-29,6.0,2.0,Quality agree create.
TKT00388,CUST0151,Performance,High,Closed,2024-12-26,2024-12-31,5.0,1.0,Forward build each anyone hand environment allow.
TKT00389,CUST0096,Billing,Medium,Resolved,2024-12-26,2025-01-08,13.0,2.0,Eight owner meeting make me she hard.
TKT00390,CUST0041,Feature Request,High,Resolved,2024-08-11,2024-08-27,16.0,5.0,Learn again everybody activity win.
TKT00391,CUST0178,Performance,High,In Progress,2024-11-10,,,,Expert through if phone.
TKT00392,CUST0097,Integration,Low,Open,2024-06-06,,,,Think Mrs method.
TKT00393,CUST0180,Performance,Low,Closed,2024-10-20,2024-11-02,13.0,5.0,Fight bag realize stand.
TKT00394,CUST0082,Bug,Critical,Resolved,2024-11-09,2024-11-17,8.0,2.0,Significant together almost explain degree even laugh chair.
TKT00395,CUST0085,Billing,Low,In Progress,2024-02-09,,,,Detail rock serious build difference.
TKT00396,CUST0023,Billing,Low,Resolved,2024-12-28,2025-01-08,11.0,1.0,Firm last stuff military language usually political despite.
TKT00397,CUST0090,Bug,Medium,Resolved,2024-05-11,2024-05-15,4.0,4.0,Forget ever read return forward create size.
TKT00398,CUST0043,Billing,Medium,Closed,2024-07-30,2024-08-15,16.0,1.0,Chair part every edge.
TKT00399,CUST0123,Bug,High,In Progress,2024-10-22,,,,Actually guess security card out sea.
TKT00400,CUST0009,Bug,Low,In Progress,2024-05-30,,,,Firm court a business claim message.
TKT00401,CUST0044,Performance,Critical,Resolved,2024-07-11,2024-07-17,6.0,1.0,Air social soldier color serious bank interest pay.
TKT00402,CUST0087,Integration,Low,Closed,2024-10-31,2024-11-20,20.0,2.0,Order when tonight control.
TKT00403,CUST0156,Billing,Low,Open,2024-08-10,,,,Forward fund name travel letter.
TKT00404,CUST0049,Integration,Medium,Resolved,2024-07-28,2024-08-15,18.0,3.0,Mr site almost face determine majority single.
TKT00405,CUST0077,Performance,Medium,Open,2024-05-01,,,,Arrive anything fine.
TKT00406,CUST0126,Onboarding,Low,Resolved,2024-03-19,2024-03-21,2.0,5.0,Loss general already.
TKT00407,CUST0123,Feature Request,Medium,Open,2024-04-12,,,,Remember blood whatever case chair character day.
TKT00408,CUST0021,Onboarding,Medium,In Progress,2024-08-30,,,,Surface article miss firm side result.
TKT00409,CUST0170,Onboarding,Low,Resolved,2024-05-15,2024-05-18,3.0,4.0,Very card concern item behind.
TKT00410,CUST0095,Onboarding,Medium,Open,2024-04-05,,,,Almost college plan always brother.
TKT00411,CUST0058,Integration,Medium,Open,2024-05-17,,,,Deep provide north light.
TKT00412,CUST0022,Onboarding,Critical,Closed,2024-12-08,2024-12-20,12.0,5.0,Public black close family type want mission.
TKT00413,CUST0059,Performance,Medium,Closed,2024-10-10,2024-10-12,2.0,5.0,Peace color note local.
TKT00414,CUST0176,Onboarding,Low,Closed,2024-08-31,2024-09-19,19.0,4.0,Job lay produce drop possible tree rock participant.
TKT00415,CUST0183,Performance,High,Resolved,2024-01-18,2024-02-04,17.0,5.0,Sister can doctor painting growth hot to.
TKT00416,CUST0038,Feature Request,Critical,In Progress,2024-03-02,,,,Year safe image out night risk space.
TKT00417,CUST0050,Integration,Medium,Resolved,2024-03-05,2024-03-07,2.0,2.0,Course common early major between have box.
TKT00418,CUST0153,Bug,Low,Closed,2024-05-12,2024-05-23,11.0,5.0,Offer send interesting quickly western treat but.
TKT00419,CUST0102,Performance,Medium,Closed,2024-10-09,2024-10-20,11.0,1.0,Improve quickly base beat.
TKT00420,CUST0180,Onboarding,Low,Resolved,2024-11-15,2024-12-04,19.0,2.0,Food institution item prepare increase.
TKT00421,CUST0038,Bug,Critical,Resolved,2024-10-17,2024-11-05,19.0,5.0,Seven defense wall behavior themselves.
TKT00422,CUST0200,Billing,High,Closed,2024-02-21,2024-03-02,10.0,3.0,These subject the information.
TKT00423,CUST0099,Onboarding,Low,Resolved,2024-12-01,2024-12-17,16.0,3.0,Choose how number newspaper really eight avoid wear.
TKT00424,CUST0104,Integration,Medium,Resolved,2024-03-14,2024-04-03,20.0,4.0,Just identify policy personal book family tonight.
TKT00425,CUST0085,Onboarding,Critical,Open,2024-12-19,,,,Heavy decision life machine.
TKT00426,CUST0096,Billing,Medium,Closed,2024-01-11,2024-01-22,11.0,4.0,Much family anyone five.
TKT00427,CUST0179,Feature Request,Low,Closed,2024-12-16,2024-12-20,4.0,4.0,Generation interest other produce same woman.
TKT00428,CUST0199,Performance,Medium,Resolved,2024-06-13,2024-06-22,9.0,2.0,Old able public center table kind likely itself.
TKT00429,CUST0114,Performance,High,Resolved,2024-04-18,2024-05-02,14.0,1.0,Game lose whom fear smile something series bit.
TKT00430,CUST0132,Performance,Medium,In Progress,2024-03-22,,,,Idea prove degree heart TV right management.
TKT00431,CUST0200,Feature Request,High,Open,2024-09-25,,,,Table box little enjoy consider around news.
TKT00432,CUST0052,Bug,Critical,Open,2024-01-30,,,,Prove wrong set a.
TKT00433,CUST0181,Onboarding,Medium,Resolved,2024-04-11,2024-04-20,9.0,1.0,Similar myself simple woman sea west.
TKT00434,CUST0175,Performance,Medium,Resolved,2024-01-16,2024-01-24,8.0,4.0,Deep decide suffer debate turn.
TKT00435,CUST0151,Billing,High,In Progress,2024-10-09,,,,Card stuff anyone wait computer voice can put.
TKT00436,CUST0177,Bug,Low,Open,2024-02-16,,,,For go personal rise.
TKT00437,CUST0147,Integration,Low,Resolved,2024-04-19,2024-04-27,8.0,4.0,Type in too thus above.
TKT00438,CUST0132,Feature Request,Medium,Resolved,2024-01-11,2024-01-12,1.0,5.0,Sea staff herself summer majority do reduce.
TKT00439,CUST0003,Billing,High,Resolved,2024-04-24,2024-05-03,9.0,3.0,Painting information along continue view though as.
TKT00440,CUST0109,Feature Request,Medium,Resolved,2024-07-11,2024-07-23,12.0,5.0,Paper rock quickly rise fund push.
TKT00441,CUST0160,Performance,Critical,Open,2024-07-22,,,,Central field growth street become hair front.
TKT00442,CUST0096,Billing,Medium,Resolved,2024-10-14,2024-11-03,20.0,4.0,Population hit movement need.
TKT00443,CUST0017,Billing,Low,Resolved,2024-06-21,2024-06-30,9.0,3.0,Check explain maintain fact consumer suffer try.
TKT00444,CUST0049,Bug,High,Closed,2024-03-17,2024-04-03,17.0,5.0,Small just on society push house open.
TKT00445,CUST0104,Integration,Low,Resolved,2024-12-04,2024-12-15,11.0,4.0,Run boy provide information page.
TKT00446,CUST0076,Integration,Low,Resolved,2024-05-12,2024-05-26,14.0,5.0,Ready per doctor necessary network old price.
TKT00447,CUST0049,Integration,High,Resolved,2024-06-24,2024-07-02,8.0,3.0,Concern campaign former know simple item agreement.
TKT00448,CUST0130,Performance,Low,Closed,2024-06-02,2024-06-08,6.0,1.0,Once quickly these occur quite skin again.
TKT00449,CUST0121,Performance,High,Resolved,2024-03-06,2024-03-15,9.0,2.0,Recognize prove street blood left determine officer.
TKT00450,CUST0175,Feature Request,High,In Progress,2024-06-20,,,,Attorney here own issue catch machine husband.
TKT00451,CUST0079,Performance,Low,Resolved,2024-08-03,2024-08-14,11.0,1.0,Easy old size raise south hit.
TKT00452,CUST0121,Performance,Low,Resolved,2024-01-28,2024-02-16,19.0,2.0,Front hot find property player.
TKT00453,CUST0129,Onboarding,Low,Resolved,2024-03-02,2024-03-15,13.0,2.0,Whatever religious pay.
TKT00454,CUST0036,Performance,High,Resolved,2024-04-12,2024-04-23,11.0,4.0,In blue build speak by high.
TKT00455,CUST0037,Onboarding,Medium,Closed,2024-06-10,2024-06-16,6.0,2.0,Hospital easy law beat.
TKT00456,CUST0081,Billing,Low,Open,2024-11-20,,,,Boy charge feel cold.
TKT00457,CUST0199,Onboarding,High,Closed,2024-03-27,2024-04-15,19.0,1.0,Activity movement cup business say.
TKT00458,CUST0034,Onboarding,Medium,Resolved,2024-11-10,2024-11-24,14.0,4.0,Full imagine edge lawyer.
TKT00459,CUST0099,Integration,Medium,Resolved,2024-01-03,2024-01-05,2.0,1.0,Large risk music mouth air score person.
TKT00460,CUST0083,Bug,Medium,Open,2024-09-28,,,,Cut visit maybe wear after investment.
TKT00461,CUST0064,Bug,Medium,In Progress,2024-04-25,,,,From nature sea point network soldier.
TKT00462,CUST0151,Bug,Low,Open,2024-06-05,,,,Sister civil success on responsibility audience including often.
TKT00463,CUST0075,Billing,Medium,Resolved,2024-08-21,2024-09-07,17.0,2.0,Agree space commercial office open.
TKT00464,CUST0088,Feature Request,Critical,Closed,2024-09-07,2024-09-19,12.0,4.0,Behavior that need Congress organization.
TKT00465,CUST0005,Feature Request,Low,Resolved,2024-04-26,2024-05-04,8.0,1.0,Collection area really half happen subject foot.
TKT00466,CUST0151,Integration,Medium,Open,2024-09-15,,,,Rise thing arm page my more.
TKT00467,CUST0010,Performance,Low,Closed,2024-07-11,2024-07-20,9.0,1.0,Themselves style success.
TKT00468,CUST0170,Bug,Medium,Open,2024-02-25,,,,Ask some direction indeed under.
TKT00469,CUST0098,Integration,Low,In Progress,2024-03-04,,,,Food leader throughout property.
TKT00470,CUST0178,Integration,Low,In Progress,2024-12-17,,,,Begin either bill provide opportunity marriage beat.
TKT00471,CUST0134,Feature Request,Medium,Resolved,2024-05-18,2024-06-07,20.0,1.0,Will fact call go culture live charge among.
TKT00472,CUST0131,Bug,Medium,In Progress,2024-11-12,,,,Step dinner they skin skill message.
TKT00473,CUST0156,Feature Request,Medium,Closed,2024-04-12,2024-04-21,9.0,4.0,Radio upon include.
TKT00474,CUST0076,Feature Request,Medium,Resolved,2024-03-23,2024-03-25,2.0,4.0,Car base garden response should building.
TKT00475,CUST0085,Bug,Critical,Open,2024-04-30,,,,Program cultural early reveal government skill.
TKT00476,CUST0147,Bug,High,Open,2024-12-08,,,,Speak job kid wait kind improve piece.
TKT00477,CUST0020,Onboarding,Critical,Resolved,2024-02-21,2024-03-01,9.0,3.0,Fire growth run follow.
TKT00478,CUST0068,Feature Request,High,Open,2024-08-25,,,,Require goal improve article whatever themselves.
TKT00479,CUST0075,Bug,Low,Resolved,2024-07-03,2024-07-14,11.0,1.0,Lose business over picture never language here take.
TKT00480,CUST0003,Onboarding,Critical,In Progress,2024-03-11,,,,Health young look home understand ever total.
TKT00481,CUST0069,Feature Request,Low,Closed,2024-02-17,2024-02-29,12.0,4.0,Federal force sport manage arrive record owner present.
TKT00482,CUST0117,Onboarding,High,Resolved,2024-05-19,2024-06-01,13.0,2.0,Kid gas spend goal figure boy.
TKT00483,CUST0029,Feature Request,Low,Closed,2024-03-08,2024-03-10,2.0,5.0,Above reveal film send visit poor want.
TKT00484,CUST0124,Onboarding,High,In Progress,2024-10-18,,,,Risk focus total leader may true.
TKT00485,CUST0157,Onboarding,Low,Resolved,2024-01-15,2024-01-20,5.0,4.0,Real read listen none occur take.
TKT00486,CUST0113,Billing,Low,In Progress,2024-01-24,,,,We continue exist official plan large.
TKT00487,CUST0174,Feature Request,Critical,Resolved,2024-09-25,2024-10-14,19.0,3.0,Since nature identify southern world cup why huge.
TKT00488,CUST0133,Integration,High,Open,2024-09-24,,,,Employee miss upon finally.
TKT00489,CUST0124,Performance,High,Open,2024-06-26,,,,Detail develop give both organization score save.
TKT00490,CUST0157,Feature Request,Medium,Resolved,2024-01-28,2024-01-29,1.0,4.0,Foreign class should wind.
TKT00491,CUST0127,Billing,Low,Closed,2024-03-25,2024-03-28,3.0,3.0,Feel dinner way support fund himself.
TKT00492,CUST0013,Onboarding,Medium,Resolved,2024-09-16,2024-09-24,8.0,2.0,Rule too fine inside approach stock.
TKT00493,CUST0021,Onboarding,Low,Closed,2024-08-23,2024-09-07,15.0,4.0,Laugh camera structure you computer though reach.
TKT00494,CUST0115,Integration,Medium,Closed,2024-06-10,2024-06-14,4.0,1.0,Painting feel foreign manage.
TKT00495,CUST0104,Bug,High,Resolved,2024-07-30,2024-08-01,2.0,5.0,Analysis knowledge yourself price majority total human business.
TKT00496,CUST0159,Performance,Low,Closed,2024-11-22,2024-12-02,10.0,4.0,Put federal born simple paper data.
TKT00497,CUST0088,Onboarding,Medium,Closed,2024-07-05,2024-07-07,2.0,5.0,Federal send state until tough.
TKT00498,CUST0154,Bug,Low,Resolved,2024-08-30,2024-09-11,12.0,2.0,Environment inside race song.
TKT00499,CUST0001,Billing,Medium,Closed,2024-06-23,2024-07-05,12.0,3.0,Set less offer radio type.
TKT00500,CUST0180,Onboarding,Low,Closed,2024-02-24,2024-02-26,2.0,4.0,Already recently dog draw.
